Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.015791268345538,0.000885138044595091,0.0685678092687935,0,0,0,5.32485366509135,0.0149048926646328,-1.47975198124448E-06,-8.06521337681199E-06,0.0219378727233068,-4.01751561827566E-06,0.0232029020939231,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/base_link.STL,,Body-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_front_suspension,0.072447,-0.031683,0.02534,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_front_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_front_suspension.STL,,Suspensionsystem2-1,Origin_right_front_suspension,Axis_right_front_suspension,right_front_suspension,prismatic,0.11437,-0.21292,0.036427,2.834,0,1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
right_front_wheel,0.014171,0,-2.7756E-17,0,0,0,0.23877,0.00029907,2.5831E-24,-8.1395E-23,0.00016737,-2.5411E-21,0.00016737,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_front_wheel.STL,,wheel-2,Origin_right_front_wheel,Axis_right_front_wheel,right_front_wheel,continuous,0,-0.028286,0.058405,-1.1911,0,0,right_front_suspension,1,0,0,3.1,7,,,,,,,,,,
left_front_suspension,0.066688,-0.025617,0.027258,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/left_front_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/left_front_suspension.STL,,Suspensionsystem-1,Origin_left_front_suspension,Axis_left_front_suspension,left_front_suspension,prismatic,0.075688,0.20716,0.036427,2.834,0,-1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
left_front_wheel,-0.008411,0,0,0,0,0,0.23877,0.00029907,4.2358E-22,8.4804E-23,0.00016737,6.7763E-21,0.00016737,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/left_front_wheel.STL,,wheel-1,Origin_left_front_wheel,Axis_left_front_wheel,left_front_wheel,continuous,0,-0.047479,0.052309,-2.076,0,3.1416,left_front_suspension,1,0,0,3.1,7,,,,,,,,,,
right_back_suspension,0.075402,-0.0095357,-0.022201,0,0,0,0.19701,1.688E-05,3.707E-21,-6.4068E-22,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_back_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_back_suspension.STL,,suspensioncastle-2,Origin_right_back_suspension,Axis_right_back_suspension,right_back_suspension,prismatic,-0.07269,-0.20716,-0.0087739,2.834,0,1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
right_back_caster,4.0063E-07,-0.0037032,0,0,0,0,0.020987,7.3202E-06,2.1294E-10,4.3949E-23,3.6659E-06,-4.815E-22,8.246E-06,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_back_caster.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_back_caster.STL,,caster2-1,Origin_right_back_caster,Axis_right_back_caster,right_back_caster,continuous,0.0411609911350767,-0.0150684419408277,-0.004787494193096,-1.2631660489123,0,0,right_back_suspension,0,1,0,,,,,,,,,,,,
right_back_wheel,1.2669E-05,0,0,0,0,0,0.052036,2.1966E-05,-1.3475E-38,-2.3698E-38,1.254E-05,3.3403E-40,1.254E-05,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_back_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/right_back_wheel.STL,,wheel_small-2,Origin_right_back_wheel,Axis_right_back_wheel,right_back_wheel,continuous,0,-0.029028,0,0,0,0,right_back_caster,1,0,0,,,,,,,,,,,,
left_back_suspension,0.075402,-0.0095357,-0.022201,0,0,0,0.19701,1.688E-05,1.1945E-20,1.0411E-20,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/left_back_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/left_back_suspension.STL,,suspensioncastle-1,Origin_left_back_suspension,Axis_left_back_suspension,left_back_suspension,prismatic,-0.10431,0.20716,-0.0087739,2.834,0,-1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
left_back_caster,3.6952E-07,-0.010637,0,0,0,0,0.022754,9.8996E-06,2.3871E-10,-3.9352E-22,3.7156E-06,4.2404E-22,1.0825E-05,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/left_back_caster.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_behindnowheel/meshes/left_back_caster.STL,,caster-1,Origin_left_back_caster,Axis_left_back_caster,left_back_caster,continuous,0.0411609911350767,-0.0150684419408277,-0.00478749419309602,-1.87842660467749,0,3.14159265358979,left_back_suspension,0,1,0,,,,,,,,,,,,
